timestamp,cell1_v,cell2_v,cell3_v,loadcell1,loadcell2,pack_v,rpm1,rpm2,throttle1,throttle2,timestamp_ms
2026-05-31T14:20:40.410,4.09,4.117,4.111,0,-8,12.318,0,0,0.0,0.0,396426
2026-05-31T14:20:40.410,4.09,4.117,4.111,0,-8,12.318,0,0,0.0,0.0,396508
2026-05-31T14:20:40.530,4.09,4.117,4.112,0,-8,12.319,0,0,0.0,0.0,396599
2026-05-31T14:20:42.266,4.09,4.114,4.114,0,0,12.318,0,0,0.0,0.0,398313
2026-05-31T14:20:42.266,4.09,4.115,4.113,0,0,12.318,0,0,0.0,0.0,398397
2026-05-31T14:20:42.448,4.09,4.115,4.113,0,0,12.318,0,0,0.0,0.0,398480
2026-05-31T14:20:42.448,4.09,4.116,4.113,0,0,12.319,0,0,0.0,0.0,398571
2026-05-31T14:20:42.717,4.09,4.116,4.112,0,0,12.318,0,0,0.0,0.0,398660
2026-05-31T14:20:42.717,4.089,4.11,4.108,0,1,12.307,8,8,20.0,29.8,398766
2026-05-31T14:20:42.717,4.089,4.11,4.108,0,15,12.307,1975,3125,20.0,29.8,398839
2026-05-31T14:20:42.950,4.08,4.104,4.104,-11,-49,12.288,2361,3829,20.0,29.8,398929
2026-05-31T14:20:42.950,4.08,4.102,4.104,-59,-100,12.286,2480,3891,20.0,29.8,399019
2026-05-31T14:20:43.072,4.08,4.098,4.107,-120,-57,12.285,2494,3897,20.0,29.8,399136
2026-05-31T14:20:43.078,4.08,4.098,4.107,-143,-53,12.285,2496,3898,20.0,29.8,399197
2026-05-31T14:20:43.256,4.08,4.098,4.108,-148,-55,12.286,2494,3899,20.0,29.8,399288
2026-05-31T14:20:43.256,4.078,4.098,4.11,-150,-54,12.286,2493,3900,20.0,29.8,399382
2026-05-31T14:20:43.559,4.078,4.098,4.11,-151,-53,12.286,2492,3901,20.0,29.8,399466
2026-05-31T14:20:43.559,4.077,4.1,4.11,-150,-52,12.287,2493,3904,20.0,29.8,399557
2026-05-31T14:20:43.559,4.076,4.102,4.106,-150,-53,12.284,2493,3903,20.0,29.8,399646
2026-05-31T14:20:43.711,4.077,4.101,4.103,-150,-53,12.281,2494,3897,20.0,29.8,399752
2026-05-31T14:20:43.711,4.077,4.101,4.103,-150,-54,12.281,2489,3896,20.0,29.8,399825
2026-05-31T14:20:43.910,4.077,4.099,4.102,-150,-53,12.278,2492,3894,20.0,29.8,399915
2026-05-31T14:20:43.910,4.077,4.098,4.1,-150,-54,12.275,2497,3895,20.0,29.8,400005
2026-05-31T14:20:44.069,4.078,4.093,4.1,-150,-53,12.271,2494,3898,20.0,29.8,400121
2026-05-31T14:20:44.071,4.078,4.093,4.1,-150,-54,12.271,2496,3898,20.0,29.8,400183
2026-05-31T14:20:44.266,4.077,4.094,4.101,-150,-53,12.272,2494,3897,20.0,29.8,400274
2026-05-31T14:20:44.266,4.076,4.094,4.103,-150,-53,12.273,2496,3897,20.0,29.8,400368
2026-05-31T14:20:44.529,4.076,4.094,4.103,-150,-53,12.273,2494,3894,20.0,29.8,400452
2026-05-31T14:20:44.529,4.074,4.097,4.102,-150,-54,12.273,2496,3895,20.0,29.8,400543
2026-05-31T14:20:44.529,4.074,4.098,4.101,-150,-53,12.273,2493,3895,20.0,29.8,400632
2026-05-31T14:20:44.711,4.074,4.098,4.101,-151,-53,12.273,2495,3894,20.0,29.8,400737
2026-05-31T14:20:44.711,4.074,4.098,4.101,-151,-53,12.273,2496,3895,20.0,29.8,400811
2026-05-31T14:20:44.892,4.074,4.097,4.098,-151,-51,12.269,2493,3895,20.0,29.8,400901
2026-05-31T14:20:44.892,4.074,4.094,4.098,-151,-53,12.266,2496,3895,20.0,29.8,400991
2026-05-31T14:20:45.091,4.074,4.094,4.098,-150,-52,12.266,2496,3897,20.0,29.8,401107
2026-05-31T14:20:45.091,4.074,4.094,4.098,-150,-53,12.266,2496,3896,20.0,29.8,401169
2026-05-31T14:20:45.224,4.074,4.093,4.099,-150,-52,12.266,2492,3897,20.0,29.8,401260
2026-05-31T14:20:45.224,4.073,4.094,4.1,-149,-55,12.267,2493,3897,20.0,29.8,401353
2026-05-31T14:20:45.544,4.073,4.094,4.1,-148,-55,12.267,2492,3898,20.0,29.8,401438
