cell1_v,cell2_v,cell3_v,loadcell1,loadcell2,pack_v,rpm1,rpm2,throttle1,throttle2
3.957,3.982,3.985,0,0,11.924,0,0,0.0,0.0
3.957,3.981,3.986,0,0,11.924,0,0,0.0,0.0
3.957,3.981,3.986,0,0,11.924,0,0,0.0,0.0
3.957,3.981,3.986,0,0,11.924,0,0,0.0,0.0
3.957,3.981,3.986,0,0,11.924,0,0,0.0,0.0
3.957,3.981,3.986,0,0,11.924,0,0,0.0,0.0
3.957,3.982,3.985,0,0,11.924,0,0,0.0,0.0
3.957,3.982,3.984,0,0,11.923,0,0,0.0,0.0
3.957,3.982,3.984,0,0,11.923,0,0,0.0,0.0
3.957,3.982,3.984,0,0,11.923,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.982,3.984,0,0,11.923,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.983,3.983,0,0,11.923,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.982,3.983,0,0,11.922,0,0,0.0,0.0
3.957,3.982,3.982,0,0,11.921,0,0,9.8,0.0
3.957,3.982,3.982,0,0,11.921,0,0,9.8,0.0
3.957,3.977,3.985,4,-3,11.919,0,0,9.8,0.0
3.957,3.977,3.983,38,-4,11.917,0,664,9.8,0.0
3.957,3.977,3.985,33,0,11.919,0,664,9.8,0.0
3.957,3.977,3.985,15,1,11.919,0,669,9.8,0.0
3.957,3.975,3.984,8,2,11.916,0,669,9.8,0.0
3.957,3.977,3.982,5,2,11.916,0,996,9.8,0.0
3.957,3.977,3.984,4,2,11.918,0,566,9.8,0.0
3.957,3.977,3.984,4,2,11.918,0,566,9.8,0.0
3.957,3.976,3.982,4,2,11.915,0,731,9.8,0.0
3.957,3.977,3.984,3,2,11.918,0,731,9.8,0.0
3.957,3.978,3.982,3,2,11.917,0,875,9.8,0.0
3.957,3.978,3.982,3,3,11.917,0,875,9.8,0.0
3.957,3.976,3.982,3,3,11.915,0,777,9.8,0.0
3.957,3.978,3.979,3,2,11.914,0,777,9.8,0.0
3.957,3.978,3.979,4,2,11.914,0,1004,9.8,0.0
3.957,3.978,3.981,3,2,11.916,0,1004,9.8,0.0
3.957,3.976,3.983,3,3,11.916,0,664,9.8,0.0
3.957,3.974,3.984,3,3,11.915,0,1181,9.8,0.0
3.957,3.974,3.984,3,2,11.915,0,1181,9.8,0.0
3.957,3.977,3.982,3,2,11.916,0,712,9.8,0.0
3.957,3.978,3.982,3,2,11.917,0,712,9.8,0.0
3.957,3.976,3.981,3,2,11.914,0,894,9.8,0.0
3.957,3.976,3.981,3,2,11.914,0,894,9.8,0.0
3.957,3.977,3.98,3,3,11.914,0,755,9.8,0.0
3.957,3.978,3.981,3,3,11.916,0,755,9.8,0.0
3.957,3.978,3.981,3,3,11.916,0,1004,9.8,0.0
3.957,3.977,3.984,3,3,11.918,0,1004,9.8,0.0
3.957,3.974,3.985,3,3,11.916,0,663,0.0,0.0
3.957,3.975,3.985,2,4,11.917,0,663,0.0,0.0
3.957,3.975,3.985,-19,3,11.917,0,334,0.0,0.0
3.957,3.974,3.984,-11,1,11.915,0,334,0.0,0.0
3.957,3.978,3.983,-8,1,11.918,0,331,0.0,0.0
3.957,3.976,3.983,-6,0,11.916,0,561,0.0,0.0
