timestamp,cell1_v,cell2_v,cell3_v,loadcell1,loadcell2,pack_v,rpm1,rpm2,throttle1,throttle2,timestamp_ms
2026-05-31T15:02:45.395,4.178,4.206,4.207,0,0,12.591,0,0,0.0,0.0,459718
2026-05-31T15:02:45.395,4.178,4.207,4.207,0,0,12.592,0,0,0.0,0.0,459809
2026-05-31T15:02:45.395,4.179,4.207,4.207,0,0,12.593,0,0,0.0,0.0,459898
2026-05-31T15:02:45.500,4.179,4.206,4.207,0,0,12.592,0,0,0.0,0.0,459996
2026-05-31T15:02:47.316,4.178,4.199,4.203,0,0,12.58,0,0,0.0,0.0,461852
2026-05-31T15:02:47.316,4.178,4.199,4.203,0,0,12.58,0,0,0.0,0.0,461852
2026-05-31T15:02:47.487,4.178,4.199,4.203,0,0,12.58,0,0,0.0,0.0,461912
2026-05-31T15:02:47.487,4.178,4.202,4.204,0,0,12.584,0,0,0.0,0.0,461998
2026-05-31T15:02:47.731,4.178,4.204,4.205,0,0,12.587,0,0,0.0,0.0,462090
2026-05-31T15:02:47.731,4.178,4.204,4.205,0,0,12.587,0,0,20.0,29.8,462168
2026-05-31T15:02:47.731,4.178,4.197,4.201,-2,-9,12.576,1621,3100,20.0,29.8,462254
2026-05-31T15:02:47.915,4.17,4.194,4.197,-29,-34,12.561,2333,3856,20.0,29.8,462340
2026-05-31T15:02:47.915,4.17,4.194,4.197,-96,-71,12.561,2519,3967,20.0,29.8,462424
2026-05-31T15:02:48.102,4.17,4.193,4.192,-139,-44,12.555,2538,3975,20.0,29.8,462510
2026-05-31T15:02:48.102,4.168,4.194,4.189,-150,-43,12.551,2541,3974,20.0,29.8,462596
2026-05-31T15:02:48.246,4.17,4.193,4.184,-153,-48,12.547,2540,3974,20.0,29.8,462706
2026-05-31T15:02:48.263,4.17,4.193,4.184,-155,-48,12.547,2540,3974,20.0,29.8,462766
2026-05-31T15:02:48.438,4.172,4.189,4.185,-155,-49,12.546,2542,3973,20.0,29.8,462857
2026-05-31T15:02:48.438,4.172,4.189,4.188,-155,-49,12.549,2540,3974,20.0,29.8,462953
2026-05-31T15:02:48.725,4.172,4.189,4.188,-155,-49,12.549,2531,3975,20.0,29.8,463035
